Current,Temperature,Voltage,SoC
0.685701,30,3.92277,0.740696
1.20389,15,3.31399,0.161456
1.17828,15,3.35135,0.197002
0.200403,15,4.17099,0.976871
1.14498,40,3.445,0.286112
0.716907,35,3.90012,0.719141
0.156702,25,4.1809,0.986302
1.05906,10,3.50036,0.338786
0.0263,40,4.1949,0.999624
0.897837,20,3.71501,0.543012
1.09187,25,3.4941,0.332829
0.386686,20,4.10636,0.915374
0.443578,35,4.08236,0.892543
0.312995,10,4.13479,0.942423
1.19709,30,3.3614,0.206566
0.090601,25,4.19049,0.995419
0.763514,10,3.83487,0.657059
0.729809,40,3.89143,0.710879
0.999453,20,3.59967,0.433271
0.511272,40,4.04625,0.858186
0.392485,35,4.10689,0.915878
0.0385001,40,4.19445,0.999195
0.516073,40,4.04344,0.855509
0.831126,20,3.7839,0.608564
0.368088,10,4.11161,0.920367
0.61569,25,3.973,0.78849
1.05506,40,3.55882,0.394408
0.723908,10,3.87135,0.69177
0.560581,25,4.01104,0.82468
0.0043,15,4.19529,0.999989
0.124402,40,4.18648,0.991604
0.762614,15,3.84297,0.66477
0.546778,15,4.0143,0.827787
1.03936,10,3.52611,0.36328
0.998053,25,3.60994,0.443049
0.904738,25,3.71463,0.542659
0.876333,20,3.7378,0.564703
1.11267,10,3.42781,0.269749
0.0756007,15,4.19184,0.996706
0.91724,20,3.69395,0.522982
0.932442,20,3.67714,0.506984
0.364688,10,4.11314,0.921831
1.17338,25,3.38476,0.22879
1.11857,20,3.44836,0.289304
0.0232,30,4.19499,0.999702
0.126702,15,4.18558,0.990752
0.661197,40,3.94595,0.762746
0.380686,20,4.1091,0.91798
0.963848,40,3.66455,0.495
0.982751,40,3.64344,0.474917
0.0693006,40,4.19256,0.997393
0.0167,30,4.19514,0.999845
0.231703,20,4.16337,0.969617
0.550579,10,4.008,0.821789
0.949145,15,3.64891,0.480126
0.35089,40,4.12511,0.933217
1.01266,10,3.56021,0.395725
0.532076,35,4.03278,0.845369
0.592586,20,3.98636,0.801197
0.764515,40,3.86179,0.682678
0.903037,15,3.70088,0.529567
0.464375,20,4.06702,0.877941
0.545878,30,4.02264,0.835723
0.770616,40,3.85644,0.677584
0.581484,25,3.99703,0.811353
1.01256,30,3.59985,0.433445
1.11677,30,3.47022,0.310109
0.181002,40,4.17662,0.982228
0.827725,30,3.79793,0.62191
0.447877,40,4.08094,0.891185
0.542678,40,4.02737,0.840223
0.00839999,30,4.19526,0.999961
0.222303,40,4.16713,0.973195
0.43078,15,4.08297,0.893124
0.455576,15,4.06966,0.880462
0.700004,15,3.89853,0.717629
1.07757,30,3.52052,0.357963
0.581384,25,3.9971,0.811418
0.861731,15,3.7452,0.571737
0.500371,15,4.04373,0.855788
0.894236,40,3.73868,0.565534
0.531376,25,4.02974,0.842478
0.344191,10,4.12212,0.930373
1.04026,20,3.5498,0.385823
0.927041,10,3.66342,0.493932
0.42638,40,4.09165,0.901383
0.498671,35,4.05255,0.864181
0.444078,20,4.07799,0.888382
0.913139,25,3.70564,0.534098
1.23609,15,3.26582,0.115619
0.132602,10,4.18444,0.989663
0.934143,40,3.69687,0.525757
1.15838,10,3.36303,0.208112
0.850129,20,3.76482,0.590413
0.668299,25,3.93335,0.750761
1.14108,10,3.38787,0.231747
0.42618,25,4.08882,0.898689
0.560781,30,4.01308,0.826626
0.332493,10,4.12701,0.935026
0.153602,20,4.18126,0.986645
0.00879999,25,4.19525,0.999956
0.636693,15,3.94983,0.766445
0.437079,20,4.08166,0.891873
0.0285,25,4.19482,0.999546
0.520774,35,4.03962,0.85187
0.61659,30,3.97498,0.790376
0.583584,30,3.99796,0.812231
0.2792,35,4.15056,0.957434
0.526875,25,4.03254,0.845136
0.944544,20,3.66355,0.494057
0.706605,35,3.90855,0.727166
0.0224,20,4.195,0.999715
0.333293,30,4.13095,0.938776
0.139502,10,4.18328,0.988559
0.444378,25,4.07953,0.88985
0.528675,30,4.03336,0.845917
0.115901,15,4.18717,0.992261
1.12877,25,3.4456,0.286682
0.383286,35,4.11098,0.919775
0.237803,35,4.16285,0.96912
0.807322,20,3.80718,0.630713
1.08597,25,3.5017,0.340061
0.80002,15,3.80749,0.631009
0.423681,40,4.09296,0.902628
1.19029,25,3.36106,0.206246
0.42838,35,4.08997,0.899783
0.623491,15,3.95992,0.776039
1.12307,30,3.46197,0.302254
0.0027,20,4.1953,0.999996
0.764314,35,3.85972,0.680701
1.08787,30,3.50748,0.34556
0.202303,15,4.17053,0.97643
0.981651,40,3.64468,0.476097
0.433779,15,4.0814,0.89163
1.08477,35,3.51773,0.355312
0.933543,30,3.68948,0.518725
0.0068,25,4.19527,0.999974
0.0822008,40,4.19145,0.996332
1.06026,35,3.54816,0.38426
0.232003,35,4.16441,0.970608
0.512273,40,4.04567,0.85763
0.0800008,10,4.19134,0.996235
0.370888,15,4.11204,0.920782
0.612489,25,3.97531,0.790685
0.926641,10,3.66388,0.494371
0.685901,40,3.92694,0.744664
0.952146,15,3.64544,0.476822
0.632493,20,3.95725,0.773497
0.296897,30,4.14424,0.951418
0.0273,20,4.19486,0.999577
0.974749,30,3.64366,0.475132
1.01896,10,3.55224,0.388147
0.148402,20,4.1822,0.987534
0.451677,15,4.07181,0.8825
0.806121,30,3.81844,0.641431
0.73491,10,3.86141,0.682314
0.477874,15,4.05706,0.868469
0.147302,40,4.18293,0.988229
0.702204,10,3.89051,0.709999
0.602088,10,3.97129,0.786863
1.06856,30,3.53181,0.368702
0.415582,35,4.09617,0.905683
0.136102,10,4.18385,0.98911
1.21349,30,3.33821,0.184502
0.92104,20,3.68978,0.519008
1.02806,20,3.56493,0.400214
0.839627,40,3.79288,0.61711
0.97975,10,3.60098,0.434517
0.416282,20,4.09222,0.901921
0.944044,40,3.68621,0.515614
0.690602,10,3.90051,0.719515
0.941844,35,3.68517,0.51462
0.0155,35,4.19516,0.999868
0.0123,40,4.19521,0.999917
1.07677,15,3.4913,0.330166
0.181902,15,4.17527,0.980943
0.35129,10,4.11907,0.92747
1.23609,20,3.28186,0.130882
0.581584,20,3.99405,0.808515
1.08427,35,3.51836,0.35591
0.0772007,15,4.19169,0.996565
0.6779,20,3.9218,0.739771
0.329193,20,4.13084,0.938671
0.477274,30,4.06333,0.874432
0.850529,35,3.77955,0.604422
0.519074,25,4.03732,0.84969
0.544878,40,4.02601,0.838924
0.807822,35,3.82034,0.643237
0.595987,15,3.98024,0.795376
0.371788,20,4.11308,0.921771
0.414582,15,4.09126,0.901012
1.15018,15,3.3914,0.235107
1.18818,25,3.36403,0.209066
0.763814,15,3.84186,0.663712
0.695203,15,3.90259,0.721494
0.957547,30,3.66304,0.493564
0.896136,25,3.72376,0.55134
0.023,25,4.19499,0.999704
0.225903,15,4.16441,0.970612
0.127902,30,4.18582,0.990981
0.442578,15,4.07673,0.887188
0.0147,30,4.19517,0.99988
1.24489,10,3.23301,0.0844041
1.00395,35,3.61537,0.448213
0.42788,15,4.08448,0.894558
0.993753,15,3.59613,0.429906
0.516073,25,4.03915,0.851423
0.252103,30,4.15849,0.964972
0.376687,10,4.10765,0.916602
1.00675,30,3.60668,0.439947
0.466675,20,4.06574,0.876729
0.402483,35,4.10232,0.911536
0.0339,20,4.19461,0.999348
0.465875,30,4.06956,0.88036
0.2806,40,4.15042,0.957295
0.566882,20,4.0041,0.81808
0.208703,20,4.16939,0.975349
0.661997,30,3.94131,0.758333
1.21549,30,3.33536,0.18179
0.649295,20,3.94442,0.761291
0.705905,25,3.903,0.721885
1.07467,40,3.53482,0.371574
0.526675,35,4.03607,0.848493
0.0650005,10,4.19269,0.997514
0.316495,10,4.13343,0.941128
0.516473,20,4.0366,0.849006
0.97655,20,3.62676,0.459052
0.0236,40,4.19498,0.999697
0.537477,35,4.02947,0.842213
0.0652005,40,4.19287,0.997692
0.632893,40,3.96686,0.782642
0.451577,40,4.07904,0.889379
1.18338,20,3.35866,0.203963
0.298497,20,4.1423,0.949576
1.11857,30,3.46787,0.307869
0.519874,25,4.03684,0.849226
0.124802,30,4.18627,0.991413
0.217103,30,4.168,0.974022
0.296797,10,4.14089,0.948229
0.137102,35,4.18451,0.989733
1.18518,30,3.37802,0.22238
0.464975,25,4.06855,0.879398
0.629492,20,3.9595,0.775643
0.442978,15,4.07652,0.886984
0.663298,40,3.94436,0.761234
1.18168,35,3.39038,0.234136
0.231403,35,4.16457,0.97076
1.22239,25,3.31509,0.162505
0.333193,15,4.12811,0.936068
0.594486,10,3.97692,0.792215
0.638394,25,3.95629,0.772589
0.628092,25,3.96395,0.779876
0.319494,40,4.13711,0.944634
1.22669,25,3.30884,0.156554
0.0424001,25,4.19424,0.998995
1.04736,40,3.56813,0.403261
0.838727,10,3.76019,0.586002
0.137302,10,4.18365,0.988917
0.254203,25,4.15742,0.96396
0.253403,25,4.15766,0.964187
0.0848009,10,4.19086,0.995771
1.01806,35,3.59889,0.432532
0.175102,40,4.17782,0.983368
1.00966,25,3.5962,0.429967
0.0796008,25,4.19158,0.996463
0.0463002,15,4.194,0.998763
0.55408,40,4.02024,0.833435
0.543278,40,4.027,0.839869
1.16098,30,3.41129,0.254035
0.0651005,15,4.19273,0.997557
1.23519,35,3.31522,0.16263
0.86013,25,3.76099,0.586766
1.12747,25,3.44734,0.288334
0.228203,40,4.16561,0.971754
0.142202,20,4.18327,0.988553
0.131602,35,4.18536,0.99054
0.868332,15,3.73825,0.565132
0.166402,10,4.17819,0.983724
0.214503,25,4.16833,0.974337
0.837927,30,3.78805,0.612509
0.604288,35,3.98565,0.800522
0.592286,20,3.98657,0.801399
0.886035,25,3.73436,0.561428
0.323894,25,4.13381,0.941489
0.716106,10,3.8783,0.698387
0.783018,25,3.83553,0.657687
0.215003,15,4.16732,0.973379
0.090101,20,4.19047,0.995403
0.0482002,10,4.19386,0.998632
0.390985,40,4.10815,0.91708
0.784818,30,3.83814,0.66017
1.17238,25,3.38615,0.230113
0.458376,10,4.0655,0.876496
0.906938,25,3.71229,0.540424
1.09497,10,3.45217,0.292934
0.0589004,15,4.1932,0.998
0.734309,40,3.88767,0.707296
0.465975,35,4.07067,0.881414
0.637393,10,3.94423,0.761112
0.959047,10,3.62593,0.458254
1.10467,10,3.43887,0.280276
1.02736,30,3.58223,0.416681
1.21669,15,3.295,0.143386
0.294498,25,4.14446,0.951629
1.03956,30,3.56751,0.402675
0.0636005,30,4.19295,0.997768
0.0874009,20,4.19075,0.995674
1.14788,40,3.44117,0.282467
0.969949,10,3.61286,0.44582
0.923341,20,3.68724,0.516594
1.04766,15,3.52904,0.366068
0.527375,30,4.03415,0.846674
0.850629,25,3.77056,0.595869
0.200003,30,4.17213,0.977952
0.510572,25,4.04246,0.854574
1.00825,20,3.58908,0.423201
0.832526,35,3.797,0.621031
1.04466,15,3.53287,0.369712
0.312295,35,4.13933,0.946744
0.728809,30,3.88738,0.707019
0.245304,20,4.15951,0.965946
0.502871,30,4.04879,0.860595
0.223503,15,4.16507,0.971233
0.564781,30,4.01047,0.824143
0.191903,30,4.17397,0.979702
0.843028,30,3.78306,0.607766
0.101101,25,4.18931,0.994296
0.0511003,30,4.19379,0.998559
1.01466,10,3.55768,0.393325
0.239903,40,4.16249,0.968784
0.2762,10,4.14818,0.955165
0.092001,20,4.19026,0.995207
1.02056,30,3.59036,0.424414
0.212603,40,4.16953,0.975483
1.00755,25,3.5987,0.432347
0.440279,20,4.07999,0.890284
0.764014,40,3.86223,0.683094
0.583584,40,4.00109,0.815213
0.950145,10,3.63648,0.468301
0.294098,30,4.1452,0.95233
0.257803,40,4.15741,0.963952
1.23599,30,3.30586,0.153724
0.945845,25,3.66981,0.500006
0.582984,25,3.99601,0.810378
1.11777,35,3.47562,0.315245
0.789519,40,3.83958,0.66154
0.771416,30,3.85026,0.671699
0.755713,15,3.84933,0.67082
0.128702,10,4.18506,0.990262
0.958747,15,3.63776,0.469515
0.111701,15,4.18775,0.992812
1.04916,35,3.56171,0.397152
0.169302,35,4.17885,0.984346
0.0502003,15,4.19377,0.998547
0.113201,35,4.18794,0.993
0.831026,10,3.76816,0.593588
0.401084,30,4.10211,0.911332
1.13928,25,3.4315,0.273261
0.647695,15,3.94127,0.758296
0.170202,30,4.17852,0.984032
0.892536,30,3.73308,0.560206
0.729209,40,3.89193,0.711355
0.125902,15,4.1857,0.990869
1.15108,15,3.39013,0.233901
1.08377,30,3.51269,0.350511
1.10837,35,3.48775,0.326784
0.154002,10,4.18065,0.986058
1.04856,35,3.56243,0.397845
0.771216,30,3.85043,0.67187
0.862331,15,3.74457,0.571138
0.487772,10,4.04831,0.86014
0.0573004,20,4.19334,0.99814
0.873233,25,3.74762,0.574045
0.699504,25,3.90828,0.726912
0.108801,10,4.18798,0.993039
1.12107,30,3.46459,0.304752
0.473074,35,4.06684,0.877772
0.199703,20,4.17158,0.977429
1.03876,40,3.57844,0.41307
1.17208,40,3.40881,0.251675
0.294898,25,4.14432,0.951497
0.537577,15,4.02035,0.833537
0.102201,40,4.18934,0.994332
1.00775,35,3.61095,0.444009
0.611289,40,3.9822,0.797239
0.572883,30,4.00513,0.819059
0.0372001,40,4.19451,0.999248
0.863531,35,3.7667,0.592202
1.08657,20,3.49073,0.329619
1.06346,15,3.50868,0.3467
0.761014,30,3.85951,0.680509
1.09657,15,3.46502,0.305159
1.00765,40,3.61499,0.44785
0.579084,25,3.99867,0.812909
0.965348,10,3.61839,0.451085
0.774116,20,3.83851,0.660524
0.998053,20,3.60134,0.434865
0.669899,25,3.93209,0.749565
0.690902,15,3.90621,0.724934
0.0895009,35,4.1907,0.995623
0.236603,15,4.16142,0.967762
0.761014,20,3.85051,0.671939
0.734209,35,3.88567,0.705399
1.02286,35,3.59323,0.427142
0.151502,25,4.18184,0.987196
0.0339,10,4.19459,0.999323
0.719807,10,3.87502,0.695257
0.644595,35,3.95672,0.772999
0.879334,25,3.74133,0.568056
1.14838,10,3.37743,0.221819
1.05806,15,3.51567,0.353353
1.21189,15,3.30215,0.150186
0.970949,10,3.61165,0.444672
1.17848,25,3.37765,0.222022
1.24129,40,3.3124,0.159944
1.00936,10,3.56436,0.399675
0.85783,40,3.7752,0.600284
0.542978,30,4.02448,0.837464
1.05316,40,3.56113,0.396599
0.477874,10,4.05422,0.865762
0.138402,25,4.18407,0.989314
0.61629,35,3.97723,0.792513
0.374587,25,4.11305,0.921738
1.02936,25,3.57247,0.407397
0.533876,25,4.02818,0.840992
1.12867,25,3.44574,0.286809
1.03866,10,3.52701,0.364141
0.611889,30,3.97833,0.793562
0.624591,40,3.97282,0.788311
0.402983,35,4.10209,0.911316
0.513573,20,4.03838,0.850697
0.720807,20,3.88603,0.705739
1.19699,30,3.36154,0.206699
0.276,30,4.15118,0.958016
0.923641,20,3.68691,0.516279
0.43038,10,4.08087,0.891126
0.458676,30,4.07342,0.88403
0.0627005,35,4.19304,0.997851
0.61939,30,3.97298,0.788466
0.904638,35,3.7248,0.552332
1.03016,25,3.5715,0.406471
0.576283,10,3.99009,0.804752
1.20129,10,3.29976,0.147915
0.928042,35,3.70006,0.52879
0.583985,20,3.99238,0.80693
0.212303,35,4.16943,0.975387
0.922841,25,3.69514,0.524112
0.239803,10,4.15978,0.966203
0.125002,40,4.18639,0.991522
1.17588,20,3.36931,0.214095
0.974549,20,3.6291,0.461275
0.560481,10,4.0012,0.815319
1.13038,15,3.41902,0.261386
0.362489,20,4.11714,0.925635
0.178802,25,4.17656,0.982167
0.260702,15,4.15417,0.960861
0.212603,20,4.16841,0.974419
0.464575,30,4.07026,0.881027
0.445378,25,4.07901,0.889353
1.08887,30,3.50621,0.344349
0.491372,30,4.05541,0.8669
1.12237,10,3.41428,0.25688
0.643094,35,3.95783,0.774055
0.515673,40,4.04368,0.855733
1.07537,10,3.47869,0.318162
0.490972,10,4.04637,0.858299
0.323394,15,4.132,0.939773
0.35579,35,4.12265,0.930875
0.721607,30,3.89344,0.712789
0.156402,10,4.18019,0.985621
0.236803,15,4.16136,0.967708
0.0162,40,4.19515,0.999857
0.803821,20,3.81055,0.633916
0.457276,35,4.07528,0.885802
0.332493,25,4.1305,0.938341
0.915139,20,3.69625,0.525171
0.43198,30,4.0872,0.897141
1.06937,15,3.501,0.339391
0.160202,10,4.17944,0.984914
0.412582,40,4.09825,0.907664
0.532176,35,4.03272,0.845311
0.147302,35,4.18284,0.988149
1.04716,40,3.56837,0.40349
0.369488,15,4.11267,0.921379
0.911139,35,3.71799,0.545854
0.640794,25,3.95449,0.770874
0.297997,35,4.14434,0.951509
0.217803,25,4.16749,0.973542
0.747012,25,3.86791,0.688498
0.534276,10,4.01893,0.832191
0.0809008,30,4.19151,0.99639
0.224503,40,4.16657,0.972662
1.05096,25,3.54593,0.382136
0.0621005,40,4.1931,0.997906
0.661697,25,3.9385,0.755666
0.643794,35,3.95731,0.773563
1.01546,20,3.58035,0.414895
0.701004,30,3.91046,0.728978
0.935343,10,3.65382,0.484797
0.419881,10,4.08639,0.896375
0.199403,30,4.17227,0.978084
0.821224,10,3.7782,0.60314
0.847028,10,3.75151,0.577745
0.407183,35,4.10014,0.909458
0.35669,35,4.12228,0.930524
1.21199,20,3.31741,0.164713
0.610289,20,3.97368,0.789133
0.153802,10,4.18069,0.986095
0.459376,35,4.07417,0.88475
0.967548,20,3.63724,0.469018
0.242904,25,4.16071,0.967093
0.395384,30,4.10474,0.913834
0.823924,35,3.80521,0.62884
0.147202,30,4.18275,0.988055
0.567282,15,4.00047,0.814623
1.11657,15,3.43797,0.279423
1.00045,30,3.61406,0.446966
0.777617,20,3.83527,0.657441
0.822024,30,3.80339,0.627112
0.130102,40,4.18565,0.990817
0.227003,40,4.16592,0.97205
1.18518,25,3.36825,0.213085
0.718507,10,3.87617,0.696358
0.244804,40,4.16114,0.967496
0.321594,30,4.13539,0.942999
0.115101,15,4.18728,0.992368
0.611889,10,3.96394,0.779862
0.205703,20,4.17013,0.976052
1.20929,30,3.34418,0.190182
0.173802,10,4.17664,0.982244
0.866231,25,3.75479,0.580867
0.865531,25,3.7555,0.581546
1.13798,20,3.42205,0.264275
0.905638,20,3.7066,0.535011
0.895536,30,3.72995,0.557235
1.16868,25,3.39128,0.235
0.583484,15,3.98917,0.803876
0.938443,15,3.66121,0.491825
1.08267,10,3.46887,0.308821
0.289298,15,4.14465,0.951804
0.460676,15,4.06684,0.87777
0.871332,20,3.74302,0.56967
0.092201,40,4.19045,0.995386
0.107201,40,4.18875,0.993764
0.0039,40,4.19529,0.999992
1.02726,30,3.58235,0.416795
0.334293,35,4.13116,0.938976
0.0895009,30,4.19066,0.995582
0.152302,25,4.1817,0.98706
0.683901,10,3.90621,0.724939
0.791819,15,3.81542,0.638551
0.760314,15,3.8451,0.666793
1.01276,10,3.56008,0.395605
0.896336,15,3.70821,0.536545
0.690402,30,3.91902,0.737124
0.199603,40,4.17259,0.978389
0.570982,40,4.00939,0.823112
1.23609,35,3.31393,0.161399
0.259002,35,4.1568,0.96337
0.264902,30,4.15465,0.961325
0.188203,15,4.17386,0.979601
0.0483002,30,4.19395,0.998712
0.0107,15,4.19523,0.999933
0.567382,15,4.0004,0.814558
0.6764,35,3.93257,0.75002
0.0055,10,4.19528,0.999982
0.758614,30,3.86163,0.682525
0.272401,15,4.15039,0.95727
0.6741,35,3.93436,0.751719
0.867532,15,3.7391,0.565935
0.972749,40,3.65466,0.485593
0.699204,20,3.90432,0.723137
0.609789,35,3.98181,0.796871
0.0879009,40,4.19089,0.995806
0.286199,40,4.14861,0.955573
0.846328,40,3.78642,0.610958
0.805821,40,3.82471,0.647388
0.289198,25,4.14628,0.953354
0.161002,30,4.18028,0.985711
0.142902,20,4.18315,0.98844
0.787818,30,3.8354,0.657562
0.0466002,25,4.19403,0.998787
0.559581,25,4.0117,0.825305
0.332893,35,4.1317,0.939486
0.458576,25,4.07201,0.882696
1.01906,25,3.58494,0.419254
0.762914,15,3.8427,0.664505
0.0549004,25,4.19353,0.998317
1.00936,20,3.58775,0.421936
1.24249,15,3.25608,0.106359
0.656897,35,3.94752,0.764243
0.323494,35,4.13524,0.942855
0.636293,40,3.96439,0.780298
0.489972,10,4.04698,0.858875
0.781317,40,3.84695,0.668549
0.0610005,10,4.193,0.99781
0.985751,20,3.61596,0.448768
0.959647,40,3.66918,0.499409
1.15828,10,3.36317,0.20825
1.21749,15,3.2938,0.14225
1.06546,35,3.54176,0.378173
0.933242,30,3.68981,0.519036
0.709905,40,3.9078,0.726456
1.09477,15,3.46743,0.307452
0.889035,25,3.73122,0.558443
0.758213,35,3.86506,0.685787
0.675,15,3.91938,0.737465
1.02886,10,3.53963,0.376142
0.134702,25,4.18466,0.989877
0.942944,35,3.68397,0.513481
0.704405,40,3.91225,0.730684
0.336592,35,4.13028,0.938134
0.648595,40,3.95537,0.771712
0.201703,10,4.17017,0.976088
1.02596,35,3.58955,0.423648
0.273201,15,4.15013,0.957019
0.998253,35,3.62197,0.454489
1.02376,35,3.59216,0.426129
0.174402,35,4.17784,0.983389
0.278,40,4.15124,0.958082
1.13348,35,3.45513,0.295748
0.85813,20,3.75666,0.582647
1.22219,35,3.3338,0.180308
0.91844,40,3.71354,0.541619
0.0432002,25,4.1942,0.998957
0.204803,40,4.17139,0.977249
0.61559,10,3.96113,0.777189
0.521674,25,4.03574,0.84818
0.133202,30,4.18502,0.990218
0.627992,15,3.9565,0.772791
0.990752,25,3.61851,0.451202
0.861031,15,3.74593,0.572434
0.993653,30,3.62197,0.454491
0.296697,10,4.14092,0.948263
0.813423,15,3.79436,0.618515
0.91724,15,3.68515,0.514605
0.862631,10,3.73497,0.562004
0.74001,10,3.85675,0.677882
0.358589,25,4.11992,0.928281
0.844228,10,3.75445,0.58054
0.43058,30,4.08789,0.897807
0.183103,20,4.17536,0.981024
0.834026,10,3.76506,0.590641
1.18778,40,3.38744,0.231342
1.20829,30,3.3456,0.191532
0.110501,35,4.18829,0.993329
0.506772,20,4.04251,0.854626
0.97955,20,3.62325,0.45571
0.42908,15,4.08386,0.893966
0.572383,15,3.99695,0.811273
0.874933,10,3.72171,0.549387
0.953946,10,3.63199,0.464023
0.0356,15,4.19453,0.999268
0.55658,10,4.00389,0.817881
1.05086,15,3.52494,0.362169
0.793619,30,3.83007,0.65249
1.24059,10,3.2397,0.0907726
0.624991,40,3.97253,0.78804
0.335292,35,4.13078,0.938611
0.224703,30,4.16605,0.972171
0.143602,40,4.18354,0.988813
